Название;Категория;Производитель;SKU;guid;ЗакупочнаяЦена;БонуснаяЦена;ПолнаяЦена;НаличиеНурсултан;НаличиеПавлодар;Гарантия;КодОпенкарта;НаличиеАлматы;НаличиеПанфилова;
"Картридж Europrint EPC-CF219A";"Картриджи, тонеры, барабаны";"Europrint";"EPC-CF219A";2cdde6a4-4908-11e8-b256-7c8bca00133f;2292;2929;3468;0;5;1 мес.;43741;0;0;
"Картридж Europrint EPC-CF230A";"Картриджи, тонеры, барабаны";"Europrint";"EPC-CF230A";2cdde6a6-4908-11e8-b256-7c8bca00133f;1915;3285;2670;0;1;12 мес.;43743;0;0;
"Патч Корд SHIP Cat.6 UTP RJ-45 1м, S6025YL0100-P, Yellow";"Патчкорды и коннекторы";"SHIP";"S6025YL0100-P";9893ba16-4f4f-11e8-b256-7c8bca00133f;590;1470;2110;0;1;1 мес.;88908098;0;0;
"Звуковая карта USB Vention VAB-S17-B";"Звуковые карты";"VENTION";"VAB-S17-B";5e174ec1-5cb5-11e8-b256-7c8bca00133f;1740;3385;3885;0;3;6 мес.;45910;0;0;
"Сумка для ноутбука Defender Lite 15-16"", черный/красный, 26083";"Сумки для ноутбуков";"Defender";"26083";d1e0ab32-5d19-11e8-b256-7c8bca00133f;2992;3740;3388;0;1;1 мес.;56193;0;0;
"Акустическая система Microlab M300U";"Акустические системы";"Microlab";"Microlab M300U";a8427419-5d94-11e8-b256-7c8bca00133f;18297;23512;18850;0;1;12 мес.;55424;0;0;
"Контроллер PCI-Ex1> 4xUSB 3.0, VLI VL805-Q6";"Контроллеры";"No name";"VLI VL805-Q6";75940996-648e-11e8-b256-7c8bca00133f;2350;4800;5000;0;1;1 мес.;44240;0;0;
"Коврик Defender Black M 360x270x3mm, 50560";"Коврики для мыши";"Defender";"50560";90799d96-6ba4-11e8-b256-7c8bca00133f;1286;1633;1562;0;5;1 мес.;43837;0;0;
"Клавиатура A4Tech Bloody B800 NetBee";"Клавиатуры";"A4Tech";"B800 NetBee";71f19977-6df5-11e8-b256-7c8bca00133f;20601;25854;31895;0;2;12 мес.;43827;0;0;
"Картридж NetProduct N-MLT-D108S, для Samsung ML-1640/1641/2240/2241, 1.5K";"Картриджи, тонеры, барабаны";"NetProduct";"N-MLT-D108S";041a1282-b660-11ec-b3a9-00155d466f08;5822;8267;8151;0;2;1 мес.;56331;0;0;
"Картридж NetProduct N-106R01487, для Xerox WC 3210/3220, 4.1K";"Картриджи, тонеры, барабаны";"NetProduct";"N-106R01487";041a128a-b660-11ec-b3a9-00155d466f08;6915;11064;11756;0;3;1 мес.;56325;0;0;
"Материнская плата ASRock Q270 PRO BTC+";"Материнские платы";"ASRock";"Q270 PRO BTC+";b6ab76aa-b6a3-11ec-b3a9-00155d466f08;68000;86655;80847;0;1;12 мес.;55631;0;0;
"Акустическая система Microlab M-110";"Акустические системы";"Microlab";"Microlab M-110";b471222c-b8fc-11ec-b3a9-00155d466f08;13718;18985;16774;0;3;12 мес.;38719;0;0;
"Маршрутизатор Mercusys MW325R";"Маршрутизаторы";"Mercusys";"MW325R";1cfd6145-f04a-11e7-b3e1-7c8bca00133f;8250;11138;9981;0;1;12 мес.;42526;0;0;
"Патч-корд Ship S3025BL0050-P, Cat.5e, UTP, RJ-45, 0.5 м, Blue";"Патчкорды и коннекторы";"SHIP";"S3025BL0050-P";f634fb67-f070-11e7-b3e1-7c8bca00133f;325;420;429;0;6;1 мес.;47509;0;0;
"Патч-панель SHIP P197-48";"Комплектующие для шкафов";"SHIP";"P197-48";9467c75b-fa76-11e7-b3e1-7c8bca00133f;17429;22658;23484;0;1;1 мес.;39131;0;0;
"Акустическая система Microlab M-200";"Акустические системы";"Microlab";"Microlab M-200";0f09bc77-ff99-11e7-b3e1-7c8bca00133f;18093;23250;22400;0;1;12 мес.;38725;0;0;
"Ножки для шкафов и стоек SHIP 700712000";"Аксессуары для шкафов и стоек";"SHIP";"700712000";a258ee62-0186-11e8-b3e1-7c8bca00133f;633;984;960;0;3;;39093;0;0;
"Кабель сетевой SHIP D135S-P Cat.5e UTP PVC 305метров";"Витая пара";"SHIP";"D135S-P 305метров";a258ee64-0186-11e8-b3e1-7c8bca00133f;62323;81994;82975;0;6;1 мес.;39015;0;0;
"Батарейный блок для SVC PTS-3KL-LCD, напольный, батареи: 12В/7Ah x 16шт";"Источники бесперебойного питания";"SVC";"блок для PTS-3KL-LCD";7132a2cb-0d50-11e8-b3e1-7c8bca00133f;160174;196209;204334;0;1;12 мес.;88890827;0;0;
"Патч-корд Ship, Cat.5e, UTP, RJ-45, 3 m., S3025BK0300-P, Black";"Патчкорды и коннекторы";"SHIP";"S3025BK0300-P";1d5745c5-9d09-11e7-b414-1c872c710840;1032;1550;3398;0;4;1 мес.;42169;0;0;
"Шкаф настенный SHIP 5409.01.100";"Настенные шкафы и опции";"SHIP";"5409.01.100";4df53b47-2ef8-11e7-b477-1c872c710840;38195;47490;53662;0;1;12 мес.;39061;0;0;
"Картридж Europrint EPC-323A";"Картриджи, тонеры, барабаны";"Europrint";"EPC-323A";f8e68634-2fca-11e7-b477-1c872c710840;3518;4398;4398;0;1;1 мес.;39222;0;0;
"Акустическая система Microlab M-105R, 2.1, Black, 10W RMS";"Акустические системы";"Microlab";"M-105R Black";faac07d7-3359-11e7-b477-1c872c710840;10807;14157;14660;0;7;6 мес.;41514;0;0;
"Конвертер DVI-D > D-Sub";"Конвертеры";"No name";"DVI-D > D-Sub";560877ac-3605-11e7-b477-1c872c710840;790;2500;2575;0;1;1 мес.;42368;0;0;
"Трансивер TP-LINK TL-SM321B";"Медиаконвертеры и трансиверы";"TP-LINK";"TL-SM321B";c1cbd16a-3e21-11e7-b477-1c872c710840;9682;12974;9990;0;4;12 мес.;36735;0;0;
"Картридж HP CF279A MAK";"Картриджи, тонеры, барабаны";"MAK";"CF279A MAK";eca5281d-4739-11e7-b477-1c872c710840;2830;4811;4811;0;2;1 мес.;41838;0;0;
"Диск SSD 2.5"" 240Gb Kingston A400, SA400S37/240G";"Твердотельные диски (SSD)";"Kingston";"SA400S37/240G";9116823d-60b3-11e7-b477-1c872c710840;14348;19011;15456;0;1;36 мес.;41652;0;0;
"Комплект беспроводной клавиатура + мышь Logitech MK220, 920-003169";"Наборы Клавиатура + Мышь";"Logitech";"920-003169";526d956c-6d6d-11e7-b477-1c872c710840;9604;12869;11205;0;2;12 мес.;41682;0;0;
"Диск SSD M.2 PCI-E 256Gb Patriot P300, P300P256GM28";"Твердотельные диски (SSD)";"Patriot";"P300P256GM28";e3c024dc-8a59-11ea-b4cb-7c8bca00133f;12048;15964;12937;0;3;24 мес.;48909;0;0;
"Картридж Colorfix Q7553X/Q5949X, P2014/P2015/M2727/1160/1320/3390/3392";"Картриджи, тонеры, барабаны";"Colorfix";"Colorfix Q7553X/Q5949X";07cb5636-8de7-11ea-b4cb-7c8bca00133f;3346;4183;4568;0;1;1 мес.;54709;0;0;
"Внешний HDD 2.5"" 1Tb Seagate STJL1000400";"Внешние HDD/SSD";"Seagate";"STJL1000400";4c17659f-96dc-11ea-b4cb-7c8bca00133f;29859;38438;29790;0;1;24 мес.;48952;0;0;
"USB Flash drive 64Gb Apacer AH333, AP64GAH333W-1";"USB Flash накопители";"Apacer";"AP64GAH333W-1";77906fc7-9c16-11ea-b4cb-7c8bca00133f;1641;2186;2013;0;2;24 мес.;48989;0;0;
"ADSL Сплиттер D-Link, DSL-30CF/RS";"Кабели";"D-link";"DSL-30CF/RS";2bbcc74b-a333-11ea-b4cb-7c8bca00133f;1398;1775;0;0;7;1 мес.;49061;0;0;
"Карта памяти microSD 128Gb Kingston Canvas Select Plus, SDCS2/128GB";"Карты памяти";"Kingston";"SDCS2/128GB";9a713c02-a5d3-11ea-b4cb-7c8bca00133f;4320;6264;4836;0;8;36 мес.;49045;0;0;
"Шкаф настенный Ship VP5409.100 9U 570*450*500 мм";"Настенные шкафы и опции";"SHIP";"VP5409.100";df4fbe1e-ab00-11ea-b4cb-7c8bca00133f;39976;48971;51576;0;1;1 мес.;88909640;0;0;
"Шкаф настенный SHIP VP5406.100, 19"" 6U, 570*450*380 мм";"Настенные шкафы и опции";"SHIP";"VP5406.100";3eeb3c5a-ada0-11ea-b4cb-7c8bca00133f;34516;46074;46419;0;1;1 мес.;49437;0;0;
"Корпус Aerocool Menace Saturn RGB Black, RGB-G-BK-v1";"Корпуса";"AeroCool";"Menace Saturn RGB-G-BK-v1";3eeb3c76-ada0-11ea-b4cb-7c8bca00133f;17460;23790;24768;0;1;12 мес.;49080;0;0;
"Комплект клавиатура + мышь A4Tech F1010-BLUE Fstyler";"Наборы Клавиатура + Мышь";"A4Tech";"F1010-BLUE Fstyler";cfa152b3-adb3-11ea-b4cb-7c8bca00133f;6775;9485;9391;0;2;12 мес.;49093;0;0;
"Комплект клавиатура + мышь A4Tech F1010-ORANGE Fstyler";"Наборы Клавиатура + Мышь";"A4Tech";"F1010-ORANGE Fstyler";cfa152b5-adb3-11ea-b4cb-7c8bca00133f;6644;9302;8973;0;1;12 мес.;49094;0;0;
"Комплект клавиатура + мышь A4Tech F1010-WHITE Fstyler";"Наборы Клавиатура + Мышь";"A4Tech";"F1010-WHITE Fstyler";cfa152b7-adb3-11ea-b4cb-7c8bca00133f;6656;9318;9288;0;3;12 мес.;49095;0;0;
"Батарейка CAMELION AAA FR03, FR03-BP2, Lithium P7, 1.5V, 2шт";"Батарейки и зарядные устройства";"CAMELION";"FR03-BP2";24d69036-baad-11ea-b4cb-7c8bca00133f;1535;1919;1828;0;11;1 мес.;49114;0;0;
"Геймпад Defender Omega, USB, 64247";"Игровые манипуляторы";"Defender";"64247";b7c5656e-11c3-11eb-b57b-7c8bca00133f;3866;4833;2985;0;2;12 мес.;51587;0;0;
"Патч-корд SHIP S4025BK0200-P, Cat.5e, FTP, 2 метра, Black";"Патчкорды и коннекторы";"SHIP";"S4025BK0200-P";4293ec07-1a23-11eb-b57b-7c8bca00133f;690;1755;1738;0;5;1 мес.;51315;0;0;
"Клавиатура беспроводная Delux DLK-1900OGB";"Клавиатуры";"Delux";"DLK-1900OGB";4293ec09-1a23-11eb-b57b-7c8bca00133f;2990;3738;4675;0;4;12 мес.;50382;0;0;
"Корпус XG Thor";"Корпуса";"X-Game";"XG Thor";17c4d17c-1f4a-11eb-b57b-7c8bca00133f;13000;17984;16887;0;1;1 мес.;50373;0;0;
"Картридж Europrint EPC-W1106A (№106А с чипом), для HP LJ MFP 107a/107r/107w/135a/135r/135w/137fnw,1000 страниц";"Картриджи, тонеры, барабаны";"Europrint";"EPC-W1106A";ce653fce-2006-11eb-b57b-7c8bca00133f;2391;3020;3364;0;4;12 мес.;88906889;0;0;
"Масляный обогреватель SVC OH-2000-9, 2000Вт";"Обогреватели и тепловые завесы";"SVC";"OH-2000-9";cc6d7f98-25df-11eb-b57b-7c8bca00133f;18176;23356;25990;0;4;12 мес.;50539;0;0;
"Веб-камера Rapoo C200";"Веб-камеры";"RAPOO";"Rapoo C200";cc6d7f9e-25df-11eb-b57b-7c8bca00133f;8104;10940;9707;0;2;12 мес.;50531;0;3;
"Вентилятор для корпуса Gembird S14025H-3P4M";"Охлаждение для корпусов ПК";"Gembird";"S14025H-3P4M";54df987a-277a-11eb-b57b-7c8bca00133f;1724;2182;4943;0;1;1 мес.;50380;0;0;
"Корпус Gamemax Aero Black, 1236070000";"Корпуса";"GameMax";"1236070000";142cf9ad-2c1e-11eb-b57b-7c8bca00133f;22657;30399;30911;0;7;1 мес.;50527;0;0;
"Мышь X-Game XM-775OGB";"Мыши";"X-Game";"XM-775OGB";71871108-2cad-11eb-b57b-7c8bca00133f;790;1003;1114;0;32;6 мес.;50532;0;0;
"Патч Корд Ship, Cat.6, UTP, RJ-45, 2 m, S6025BL0200-P";"Патчкорды и коннекторы";"SHIP";"S6025BL0200-P";8ad428b8-2fa3-11eb-b57b-7c8bca00133f;908;1392;1361;0;3;1 мес.;88908119;0;0;
"Блок питания AeroCool KCAS PLUS GOLD 650W RGB";"Блоки питания";"AeroCool";"ACPG-KP65FEC.11";21268936-9085-11ec-b5e5-7c8bca00133f;32507;40146;37897;0;1;24 мес.;53558;0;0;
"Коврик A4tech Fstyler FP20 Grey, 250x200x2 мм";"Коврики для мыши";"A4Tech";"FP20 Grey";88d30de7-928c-11ec-b5e5-7c8bca00133f;887;1985;1285;0;4;1 мес.;55735;0;0;
"Батарейка VARTA AA R6P, R6P/АА 4, Superlife, 1.5V, 4шт";"Батарейки и зарядные устройства";"Varta";"R6P/АА Superlife 4";28d81bb5-92db-11ec-b5e5-7c8bca00133f;968;1407;820;0;1;1 мес.;55937;0;0;
"Батарейка CAMELION AAA LR03, R03P-SP24B, Super Heavy Duty, 1.5V, 24шт";"Батарейки и зарядные устройства";"CAMELION";"R03P-SP24B";28d81bb7-92db-11ec-b5e5-7c8bca00133f;1375;1793;1537;0;3;1 мес.;49115;0;0;
"Картридж Colorfix CF287X/CRG-041H";"Картриджи, тонеры, барабаны";"Colorfix";"CF287X/CRG-041H";e09099eb-cc27-11ec-b5e8-00155d466f08;4987;8224;8820;0;1;1 мес.;54497;0;0;
"Клавиатура Defender Element HB-190";"Клавиатуры";"Defender";"Element HB-190";bd8722b6-70d4-11ea-b61e-7c8bca00133f;2169;2711;2119;0;3;12 мес.;48852;0;0;
"Мышь Delux DLM-388OUB, Black";"Мыши";"Delux";"DLM-388OUB";ff97e91e-f326-11e5-b761-d02788d90a1b;1610;2013;1914;0;4;12 мес.;36276;0;0;
"Клавиатура беспроводная Delux DLK-150GB";"Клавиатуры";"Delux";"DLK-150GB";027b6641-02f1-11e6-b761-d02788d90a1b;3557;4446;4425;0;5;12 мес.;36354;0;0;
"Сетевой фильтр SHIP 700510102";"Комплектующие для шкафов";"SHIP";"700510102";d90388fb-0614-11e6-b761-d02788d90a1b;6746;10789;9985;0;1;12 мес.;39122;0;0;
"Лицевая панель под 1 модуль SHIP A160-1, 86x86 мм, без модуля";"Телекомуникационные розетки";"SHIP";"A160-1";812e223c-0a10-11e6-b761-d02788d90a1b;283;542;505;0;13;1 мес.;37038;0;0;
"Процессор Intel Pentium G4400 3.3 GHz, OEM";"Процессоры";"Intel";"G4400";e8a41a14-0adb-11e6-b761-d02788d90a1b;30040;37099;36348;0;1;12 мес;36871;0;0;
"Маршрутизатор TP-LINK TL-WR840N";"Маршрутизаторы";"TP-LINK";"TL-WR840N";bfda1817-0fd6-11e6-b761-d02788d90a1b;9770;13092;12525;0;3;12 мес.;36811;0;0;
"Коммутатор TP-LINK TL-SF1024M";"Коммутаторы";"TP-LINK";"TL-SF1024M";cd2773db-23ef-11e6-b761-d02788d90a1b;19467;25015;21926;0;1;12 мес.;36780;0;0;
"Шкаф настенный SHIP 5606.01.100";"Настенные шкафы и опции";"SHIP";"5606.01.100";bab50061-2965-11e6-b761-d02788d90a1b;40865;49242;51481;0;3;12 мес.;39059;0;0;
"Кабель сетевой SHIP D146-P Cat.5e FTP РЕ 305метров";"Витая пара";"SHIP";"D146-P 305метров";bab50071-2965-11e6-b761-d02788d90a1b;64373;81727;81985;0;1;1 мес.;37399;0;0;
"Кабель сетевой SHIP D147-P Cat.5e FTP РЕ 305метров";"Витая пара";"SHIP";"D147-P 305метров";bab50074-2965-11e6-b761-d02788d90a1b;69961;88226;89844;0;2;1 мес.;37400;0;0;
"Кабель сетевой SHIP D165S-P Cat.6 UTP PVC 305метров";"Витая пара";"SHIP";"D165S-P 305метров";04a75a26-2f0e-11e6-b761-d02788d90a1b;70370;90895;89101;0;2;1 мес.;37402;0;0;
"Картридж Premier CF211A, LaserJet Pro 200 color M251/MFP M276, синий";"Картриджи, тонеры, барабаны";"Premier";"CF211A Premier";04a75a33-2f0e-11e6-b761-d02788d90a1b;4981;8219;3860;0;1;1 мес.;46264;0;0;
"Кабель USB 2.0, удлинитель 3.0 м, Monster, AM-AF3m";"Кабели";"Monster";"AM-AF3m";5e02a727-3e93-11e6-b761-d02788d90a1b;866;2165;1182;0;3;1 мес.;88889528;0;0;
"Картридж Europrint EPC-MLT-D101S";"Картриджи, тонеры, барабаны";"Europrint";"EPC-MLT-D101S";c05804ef-5936-11e6-b761-d02788d90a1b;2519;3195;3194;0;10;1 мес.;40338;0;0;
"Коммутатор MikroTik RB260GSP";"Коммутаторы";"MikroTik";"RB260GSP";df00cb82-4f5f-11ec-b8f0-7c8bca00133f;28862;36980;36995;0;1;12 мес.;51929;0;0;
"Аккумулятор CAMELION Lithium, ICR18650F-22-BP, 2200 mAh, 1 шт";"Батарейки и зарядные устройства";"CAMELION";"ICR18650F-22-BP";e792f289-a44a-11e8-b8fc-7c8bca00133f;1340;1702;1520;0;2;1 мес.;48338;0;0;
"Хомут нейлоновый Deluxe 3.6*180 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"3.6*180 мм белый (100 штук в упаковке)";3ad4ee2e-0ad9-11ec-b8fe-7c8bca00133f;243;353;422;0;169;1 мес.;88894883;0;0;
"Наушники беспроводные Ritmix RH-802BTH TWS, White";"Наушники и гарнитуры";"Ritmix";"RH-802BTH TWS белый";7d5e6311-0c8a-11ec-b8fe-7c8bca00133f;4149;8990;5809;0;20;12 мес.;53197;0;4;
"Кабель сетевой SHIP D175-P Cat.6 FTP PVC 305метров";"Витая пара";"SHIP";"D175-P 305метров";7a8ba27e-1061-11ec-b8fe-7c8bca00133f;82948;107003;109208;0;1;1 мес.;39019;0;0;
"Электрический чайник Redmond RK-M183";"Чайники и термопоты";"Redmond";"RK-M183";78139a2a-19f3-11ec-b8fe-7c8bca00133f;11596,04;16520;18516;0;1;12 мес.;53434;0;0;
"USB Flash drive 64Gb Verbatim 49332, USB2.0, Black";"USB Flash накопители";"Verbatim";"Verbatim 49332";f5df6214-1a94-11ec-b8fe-7c8bca00133f;3072;5222;5222;0;2;24 мес.;53484;0;0;
"USB Flash drive 64Gb Verbatim 49318, USB3.2, Black";"USB Flash накопители";"Verbatim";"Verbatim 49318";f5df621e-1a94-11ec-b8fe-7c8bca00133f;3646;4558;5553;0;4;24 мес.;53485;0;0;
"Клавиатура Rapoo V500PRO Yellow Blue, USB";"Клавиатуры";"RAPOO";"V500PRO Yellow Blue";a83edcf1-1d28-11ec-b8fe-7c8bca00133f;12990;17212;18070;0;1;12 мес.;53507;0;0;
"Акустическая система HP DHE-6000";"Акустические системы";"HP";"DHE-6000";0152e7be-2357-11ec-b8fe-7c8bca00133f;4290;6221;6090;0;1;12 мес.;53545;0;0;
"Корпус Aerocool Gladiator Black, Duo-G-BK-v1";"Корпуса";"AeroCool";"Gladiator Duo-G-BK-v1";632c4c56-2437-11ec-b8fe-7c8bca00133f;27700;34487;36992;0;1;1 мес.;55732;0;0;
"Батарея SVC 12V 7Ah, AV7-12/S, 100x151x65 мм";"Аккумуляторы для ИБП";"SVC";"AV7-12/S";90b150b6-272d-11ec-b8fe-7c8bca00133f;5616;7975;7032;0;8;1 мес.;53583;0;0;
"Сумка для ноутбука Defender Geek 15-16"", черная";"Сумки для ноутбуков";"Defender";"26084";3270fb10-e312-11e8-ba6d-7c8bca00133f;5735;8144;6555;0;2;1 мес.;46110;0;0;
"Картридж NVP NV-106R02306";"Картриджи, тонеры, барабаны";"NVP";"NV-106R02306";68cf8bda-e3db-11e8-ba6d-7c8bca00133f;6241;8737;8737;0;1;1 мес.;42572;0;0;
"Картридж NVP NV-106R02310";"Картриджи, тонеры, барабаны";"NVP";"NV-106R02310";397dc0a5-e632-11e8-ba6d-7c8bca00133f;5658;8034;10985;0;1;1 мес.;42573;0;0;
"Патч Корд Ship, Cat.5e, LSZH, UTP, RJ-45, 0.5 метра, S3025RD0050-P, Red";"Патчкорды и коннекторы";"SHIP";"S3025RD0050-P";eb0ad1b4-eee3-11e8-ba6d-7c8bca00133f;325;451;451;0;5;12 мес.;88908125;0;0;
"Патч Корд Ship, Cat.5e, LSZH, UTP, RJ-45, 1 метр, S3025YL0100-P, Yellow";"Патчкорды и коннекторы";"SHIP";"S3025YL0100-P";eb0ad1b6-eee3-11e8-ba6d-7c8bca00133f;460;659;675;0;11;12 мес.;88908126;0;0;
"Розетка настенная SHIP A169, 1 модуль, Cat.5e, RJ-45, FTP, белая";"Телекомуникационные розетки";"SHIP";"SHIP A169";eb0ad1ba-eee3-11e8-ba6d-7c8bca00133f;736;1184;1794;0;1;1 мес.;88908127;0;0;
"Кабель питания С13 SHIP SH5005-1.2P, 1.2 метра";"Кабели";"SHIP";"SH5005-1.2P";eb0ad1bc-eee3-11e8-ba6d-7c8bca00133f;576;769;776;0;24;1 мес.;46626;0;0;
"Коврик A4Tech Bloody MP-60R, RGB";"Коврики для мыши";"A4Tech";"MP-60R";d8bbdbf1-f658-11e8-ba6d-7c8bca00133f;8266;11475;11159;0;1;12 мес.;46168;0;0;
"Процессор Intel Core i5-12400F ОЕМ";"Процессоры";"Intel";"i5-12400F OEM";33325a7c-9860-11ec-bb4c-7c8bca00133f;62154,02;74274;54265;0;1;12 мес.;55399;0;0;
"Адаптер Bluetooth TP-Link UB400";"Беспроводные адаптеры";"TP-LINK";"TP-Link UB400";46d07624-9860-11ec-bb4c-7c8bca00133f;4514;6545;4936;0;2;12 мес.;56343;0;0;
"Мышь Delux DLM-137OGB, Black";"Мыши";"Delux";"DLM-137OGB";18d91ea4-255c-11e5-bb9f-d02788d90a1b;2000;2500;2388;0;1;12 мес.;45278;0;0;
"USB Flash drive 64Gb Apacer AH334, AP64GAH334P-1, USB2.0, Pink";"USB Flash накопители";"Apacer";"AP64GAH334P-1";cb4424cd-ff81-11e9-bc5f-7c8bca00133f;1558;2602;2658;0;4;24 мес.;48111;0;0;
"Кабель сетевой SHIP D165-P Cat.6 UTP PVC 305метров";"Витая пара";"SHIP";"D165-P 305метров";1778faa2-1681-11e5-bcf1-d02788d90a1b;67463;85332;81545;0;3;1 мес.;39016;0;0;
"Патч-панель Ship P197-24A";"Комплектующие для шкафов";"SHIP";"P197-24А";1778faa6-1681-11e5-bcf1-d02788d90a1b;14082;18659;19271;0;3;1 мес.;88909648;0;0;
"Кабель SHIP D225-P, Cat.5e, UTP, 4x2x1/0.51мм, РЕ, 305 м в катушке, (для внешней прокладки со стальным тросом)";"Витая пара";"SHIP";"D225-P";1778fac3-1681-11e5-bcf1-d02788d90a1b;61432;79554;80758;0;2;1 мес.;88896606;0;0;
"Кабель питания С13, 1.2 метра";"Кабели";"No name";"С13 1.2 м";78b0c9b8-bc8c-11ec-bd55-00155d466f08;241;650;329;0;1;1 мес.;88889557;0;0;
"Материнская плата ASUS ROG MAXIMUS Z690 HERO";"Материнские платы";"ASUS";"ROG MAXIMUS Z690 HERO";aa31d9d5-c6a3-11ec-bd55-00155d466f08;297928;339870;347086;0;1;24 мес.;55295;0;0;
"Картридж NetProduct (N-106R01374) для Xerox Phaser 3250/3250D, 5K";"Картриджи, тонеры, барабаны";"NetProduct";"N-106R01374";ddd82a3f-cab5-11ec-bf3b-00155d466f08;5137;8322;8733;0;1;;58628;0;0;
"Тонер-картридж Panasonic Europrint KX-FAT88A, для KX-FL401/KX-FL402/KX-FL403/KX-FLC411/KX-FLC412/KX-FLC413";"Картриджи, тонеры, барабаны";"Europrint";"KX-FAT88A Europrint";54d45313-d031-11e8-bf3e-7c8bca00133f;1463;2926;2487;0;2;1 мес.;47596;0;0;
"Изолента Deluxe, ПВХ 0.13 х 15 мм, 20 м, черная";"Крепежи и метизы";"Deluxe";"Deluxe ПВХ 0.13 х 15 мм 20 м";ae1fb0b6-7938-11e9-bf9f-7c8bca00133f;152;208;247;0;6;1 мес.;88900036;0;0;
"Картридж Europrint EPC-233A";"Картриджи, тонеры, барабаны";"Europrint";"EPC-233A";b33ffe03-8cf7-11e9-bf9f-7c8bca00133f;1299;2071;3478;0;8;12 мес.;45386;0;0;
"Батарейка аккумуляторная CAMELION AAA, NH-AAА1100BP2, Rechargeable, 1.2V, 2шт";"Батарейки и зарядные устройства";"CAMELION";"NH-AAА1100BP2";df1b3f44-8e67-11e9-bf9f-7c8bca00133f;1120;1422;1297;0;9;1 мес.;88908343;0;0;
"Кабель HDMI-HDMI Cablexpert CC-HDMI4L-1M v1.4 1m";"Кабели";"Cablexpert";"CC-HDMI4L-1M";26549303-90c6-11e9-bf9f-7c8bca00133f;913;1160;0;0;4;12 мес.;88898656;0;0;
"Диск SSD 2.5"" 240Gb GIGABYTE, GP-GSTFS31240GNTD";"Твердотельные диски (SSD)";"Gigabyte";"GP-GSTFS31240GNTD";1fe270d2-9251-11e9-bf9f-7c8bca00133f;9223;12359;14590;0;5;36 мес.;47377;0;0;
"Оперативная память DDR4 2666/16Gb AMD Radeon, R7416G2606U2S-U";"Оперативная память";"AMD";"R7416G2606U2S-U";591b30e5-dfcd-11ea-80b2-7c8bca00133f;24525;30779;16037;0;0;36 мес.;49515;0;2;
"Микрофон HyperX SoloCast Black, HMIS1X-XX-BK/G 4P5P8AA";"Микрофоны";"HyperX";"HMIS1X-XX-BK/G 4P5P8AA";ecf43d9e-8249-11ec-8189-7c8bca00133f;27516;34257;29322;0;0;12 мес.;52641;0;1;
"Маршрутизатор Mercusys MW301R";"Маршрутизаторы";"Mercusys";"MW301R";083b9d96-d5e0-11e9-82b8-7c8bca00133f;6536;9150;8169;0;0;12 мес.;47646;0;1;
"Патч-корд Extra Cat.5e, RJ-45, Grey, 3 м";"Патчкорды и коннекторы";"Extra";"LAN 5e Extra, 3m";6e54d0b1-13a5-11e8-8470-7c8bca00133f;250;625;1100;0;0;1 мес.;43284;0;1;
"Точка доступа 300M Tp-Link EAP115";"Беспроводные точки доступа";"TP-LINK";"EAP115";62f55a5e-16bc-11e8-8470-7c8bca00133f;24217;30392;26024;0;0;12 мес.;40152;0;5;
"Коммутатор Mercusys MS105(EU)";"Коммутаторы";"Mercusys";"MS105(EU)";2f966e2e-202e-11e8-8480-7c8bca00133f;3654;4568;4080;0;0;12 мес.;43279;0;2;
"Картридж HP CZ130A, оригинальный, Cyan";"Картриджи струйные";"HP";"CZ130A";ebbd3751-2761-11e8-8480-7c8bca00133f;18827;24193;19430;0;0;1 мес.;44767;0;2;
"Картридж HP CZ129A, оригинальный, Black";"Картриджи струйные";"HP";"CZ129A ";ebbd3759-2761-11e8-8480-7c8bca00133f;25805,7;32386;23552;0;0;1 мес.;44715;0;2;
"Хомут нейлоновый Deluxe 2.5*100 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"2.5*100 мм белый (100 штук в упаковке)";71ea2ff5-bcae-11e7-8513-7c8bca00133f;174;257;153;0;0;1 мес.;43597;0;1;
"Диск SSD 2.5"" 2 TB Samsung 870 QVO, MZ-77Q2T0BW";"Твердотельные диски (SSD)";"Samsung";"MZ-77Q2T0BW";1cd2bf24-6641-11ec-89fd-7c8bca00133f;93740;111082;95403;0;0;36 мес.;50478;0;1;
"Клавиатура Defender Blitz GK-240L, USB";"Клавиатуры";"Defender";"Blitz GK-240L";5f259486-f2c8-11eb-8d0e-7c8bca00133f;10100;13902;13036;0;0;6 мес.;53072;0;1;
"Картридж HP 728 Yellow 130ml, F9J65A";"Картриджи струйные";"HP";"F9J65A";c05489e7-ea0f-11eb-8d18-7c8bca00133f;60592;72407;0;0;0;1 мес.;88906753;0;1;
"Держатель для видеокарт DeepCool GH-01 A-RGB, DP-GH01-ARGB";"Адаптеры";"DeepCool";"DP-GH01-ARGB";15af0dbd-5474-11ea-93a8-7c8bca00133f;5390;7985;6900;0;0;12 мес.;88900554;0;1;
"Кабель HDMI-HDMI Cablexpert CC-HDMI4-15 v2.0 4.5m";"Кабели";"Cablexpert";"CC-HDMI4-15";deb7e7d0-56ea-11ea-93a8-7c8bca00133f;2635;3294;2175;0;0;12 мес.;48678;0;1;
